pm_name,pm_name,mipgap,nodes,simplex,time,best_obj,best_bound,gap
Method,0.0,0.001,282.0,10212.0,2.744609832763672,302.0,302.0,0.0
Method,1.0,0.001,141.0,7272.0,2.2202072143554688,302.0,302.0,0.0
Method,2.0,0.001,330.0,12976.0,2.322162628173828,302.0,302.0,0.0
BranchDir,-1.0,0.001,130.0,6759.0,2.117238998413086,302.0,302.0,0.0
BranchDir,1.0,0.001,68.0,7445.0,2.089244842529297,302.0,302.0,0.0
Heuristics,0.0,0.001,1279.0,34083.0,6.204761505126953,302.0,302.0,0.0
Heuristics,0.1,0.001,141.0,7272.0,2.1042423248291016,302.0,302.0,0.0
Heuristics,0.3,0.001,142.0,7286.0,2.1012401580810547,302.0,302.0,0.0
Heuristics,0.5,0.001,36.0,5977.0,2.0432605743408203,302.0,302.0,0.0
Heuristics,0.7,0.001,156.0,7864.0,2.309162139892578,302.0,302.0,0.0
Heuristics,1.0,0.001,156.0,7864.0,2.3021697998046875,302.0,302.0,0.0
MIPFocus,1.0,0.001,73.0,8610.0,2.461109161376953,302.0,302.0,0.0
MIPFocus,2.0,0.001,413.0,9998.0,4.181495666503906,302.0,302.0,0.0
MIPFocus,3.0,0.001,39.0,19639.0,7.354349136352539,302.0,302.0,0.0
VarBranch,1.0,0.001,141.0,7272.0,2.088247299194336,302.0,302.0,0.0
VarBranch,2.0,0.001,174.0,11889.0,2.1912059783935547,302.0,302.0,0.0
VarBranch,3.0,0.001,62.0,6346.0,2.691030502319336,302.0,302.0,0.0
Cuts,0.0,0.001,442.0,6745.0,2.5150909423828125,302.0,302.0,0.0
Cuts,1.0,0.001,551.0,9406.0,2.298168182373047,302.0,302.0,0.0
Cuts,2.0,0.001,264.0,13241.0,3.5207347869873047,302.0,302.0,0.0
Cuts,3.0,0.001,1.0,7444.0,6.346714019775391,302.0,302.0,0.0
CutPasses,1.0,0.001,298.0,6377.0,1.9213542938232422,302.0,302.0,0.0
CutPasses,3.0,0.001,141.0,7272.0,2.1158294677734375,302.0,302.0,0.0
CutPasses,5.0,0.001,165.0,10400.0,2.5960636138916016,302.0,302.0,0.0
GomoryPasses,0.0,0.001,141.0,7272.0,2.0702552795410156,302.0,302.0,0.0
Method,0.0,0.001,1.0,1359.0,0.22991943359375,7615.0,7615.0,0.0
Method,1.0,0.001,1.0,1024.0,0.20792579650878906,7615.0,7615.0,0.0
Method,2.0,0.001,1.0,1197.0,0.3151702880859375,7615.0,7615.0,0.0
BranchDir,-1.0,0.001,1.0,962.0,0.19392967224121094,7615.0,7615.0,0.0
BranchDir,1.0,0.001,1.0,1107.0,0.2249164581298828,7615.0,7615.0,0.0
Heuristics,0.0,0.001,1.0,1056.0,0.18793296813964844,7615.0,7615.0,0.0
Heuristics,0.1,0.001,1.0,1024.0,0.2009449005126953,7615.0,7615.0,0.0
Heuristics,0.3,0.001,1.0,1024.0,0.20392799377441406,7615.0,7615.0,0.0
Heuristics,0.5,0.001,1.0,1024.0,0.20392608642578125,7615.0,7615.0,0.0
Heuristics,0.7,0.001,1.0,1024.0,0.2009296417236328,7615.0,7615.0,0.0
Heuristics,1.0,0.001,1.0,1024.0,0.2029247283935547,7615.0,7615.0,0.0
MIPFocus,1.0,0.001,46.0,1417.0,0.2978935241699219,7615.0,7615.0,0.0
MIPFocus,2.0,0.001,1.0,585.0,0.1989269256591797,7615.0,7615.0,0.0
MIPFocus,3.0,0.001,1.0,475.0,0.28389739990234375,7615.0,7615.0,0.0
VarBranch,1.0,0.001,1.0,1024.0,0.19392967224121094,7615.0,7615.0,0.0
VarBranch,2.0,0.001,1.0,1024.0,0.19593048095703125,7615.0,7615.0,0.0
VarBranch,3.0,0.001,1.0,1024.0,0.1989269256591797,7615.0,7615.0,0.0
Cuts,0.0,0.001,111.0,1573.0,0.09096717834472656,7615.0,7615.0,0.0
Cuts,1.0,0.001,1.0,1024.0,0.1989288330078125,7615.0,7615.0,0.0
Cuts,2.0,0.001,1.0,877.0,0.29790306091308594,7615.0,7610.0,0.0006565988181221273
Cuts,3.0,0.001,1.0,343.0,0.22391891479492188,7615.0,7610.0,0.0006565988181221273
CutPasses,1.0,0.001,114.0,1646.0,0.1209564208984375,7615.0,7615.0,0.0
CutPasses,3.0,0.001,31.0,1033.0,0.14194869995117188,7614.999932142837,7614.999932142837,0.0
CutPasses,5.0,0.001,1.0,833.0,0.17894363403320312,7615.0,7615.0,0.0
GomoryPasses,0.0,0.001,1.0,849.0,0.1699371337890625,7615.0,7615.0,0.0

Method,0.0,0.001,17681224.0,53123438.0,467.4939155578613,6840.965641792,6834.141062301542,0.0009976047019979082
Method,1.0,0.001,20828159.0,60920058.0,541.2598686218262,6840.965641792,6834.1261685815725,0.0009997818390790002
Method,2.0,0.001,22215921.0,65344619.0,560.7046012878418,6840.965641792,6834.126196455639,0.0009997777644983417
BranchDir,-1.0,0.001,16910437.0,47623033.0,438.09425926208496,6840.965641792,6834.138396848293,0.0009979943331388979
BranchDir,1.0,0.001,29840477.0,90796263.0,783.2595596313477,6840.965641792,6834.124692061743,0.0009999976740804684
Heuristics,0.0,0.001,19309604.0,55225212.0,453.21232986450195,6840.965641792,6834.131258445057,0.000999037812029163
Heuristics,0.1,0.001,21874620.0,66060450.0,608.8101615905762,6840.965641792,6834.129867674037,0.0009992411124245702
Heuristics,0.3,0.001,23095809.0,68246760.0,846.4616756439209,6840.965641792,6834.127001896669,0.0009996600265835208
Heuristics,0.5,0.001,16734192.0,50715581.0,1026.3259372711182,6840.965641792,6834.127876909509,0.000999532118787197
Heuristics,0.7,0.001,16315318.0,47694795.0,2251.1295471191406,6840.965641792,6834.1436878347795,0.0009972209062919784
Heuristics,1.0,0.001,17474835.0,54502739.0,6596.435604095459,6840.965641792,6834.136626188545,0.0009982531649823732
MIPFocus,1.0,0.001,12692879.0,40571582.0,2818.659330368042,6840.965641792,6809.650096785438,0.0045776498006732174
