pm_name,pm_name,mipgap,nodes,simplex,time,best_obj,best_bound,gap
Method,0.0,0.0001,271191.0,2476976.0,90.8384895324707,71820.0,71820.0,0.0
Method,1.0,0.0001,1040990.0,9714095.0,315.2598819732666,71820.0,71820.0,0.0
Method,2.0,0.0001,237227.0,1975571.0,73.55638694763184,71820.0,71820.0,0.0
BranchDir,-1.0,0.0001,277053.0,2462117.0,89.99120140075684,71820.0,71820.0,0.0
BranchDir,1.0,0.0001,419548.0,3533204.0,131.16611099243164,71820.0,71820.0,0.0
Heuristics,0.0,0.0001,693411.0,7440479.0,260.6668643951416,71820.0,71819.99999999933,9.320357846071779e-15
Heuristics,0.1,0.0001,313957.0,2573248.0,100.57853317260742,71820.0,71820.0,0.0
Heuristics,0.3,0.0001,295934.0,2687180.0,154.76034355163574,71820.0,71820.0,0.0
Heuristics,0.5,0.0001,220596.0,2121341.0,287.5850658416748,71820.0,71820.0,0.0
Heuristics,0.7,0.0001,243089.0,2245086.0,421.6119213104248,71820.0,71820.0,0.0
Heuristics,1.0,0.0001,212875.0,2037961.0,457.0212345123291,71820.0,71820.0,0.0
MIPFocus,1.0,0.0001,438467.0,3858604.0,200.85636711120605,71820.0,71820.0,0.0
MIPFocus,2.0,0.0001,762357.0,9091354.0,365.2420024871826,71820.0,71813.0,9.746588693957115e-05
MIPFocus,3.0,0.0001,351384.0,5406526.0,256.2652359008789,71820.0,71814.0,8.35421888053467e-05
VarBranch,1.0,0.0001,1810823.0,13114780.0,497.73002433776855,71820.0,71820.0,0.0
VarBranch,2.0,0.0001,13499771.0,117229009.0,4422.447696685791,72200.0,59014.0,0.18263157894736842
VarBranch,2.0,0.0001,11195326.0,97612517.0,3600.0623779296875,72200.0,58960.0,0.18337950138504155
VarBranch,3.0,0.0001,145677.0,1704598.0,238.17107772827148,71820.0,71820.0,0.0
Cuts,0.0,0.0001,5849977.0,51566714.0,1934.5118446350098,71820.0,71815.0,6.961849067112225e-05
Cuts,1.0,0.0001,832391.0,10637425.0,295.38286781311035,71820.0,71820.0,0.0
Cuts,2.0,0.0001,721477.0,7618633.0,314.3033027648926,71820.0,71820.0,0.0
Cuts,3.0,0.0001,554486.0,7291613.0,453.6703395843506,71820.0,71819.0,1.392369813422445e-05
CutPasses,1.0,0.0001,1573100.0,13350778.0,490.149959564209,71820.0,71816.0,5.56947925368978e-05
CutPasses,3.0,0.0001,924400.0,7179631.0,285.4644775390625,71820.0,71815.0,6.961849067112225e-05
CutPasses,5.0,0.0001,710063.0,5833325.0,184.5461082458496,71820.0,71820.0,0.0
GomoryPasses,0.0,0.0001,256744.0,2116270.0,79.63971900939941,71820.0,71820.0,0.0
