,ModelName,Algorithm,Parameter,Best_obj,Time,origin_obj,eq,ueq,eq_number,ueq_number
,,,,,,,,,,
,,,,,,,,,,
0,PyomoExample.mps,ea,non,38.10129959,3.883338213,40.05105365,0,0,0,0
0,PyomoExample.mps,pso,non,38.10129959,7.193377733,37.98528272,0,0.116016869,0,2
0,PyomoExample.mps,woa,non,38.10133224,2.592276096,37.98382074,0,0.117511493,0,2
0,PyomoExample.mps,mfo,non,38.10129959,4.945922375,37.98528272,0,0.116016875,0,2
0,PyomoExample.mps,ea,mut=0.9,38.2589512,3.897380829,38.55418973,0,0.030333701,0,1
0,PyomoExample.mps,ea,mut=0.6,38.10129959,4.100753546,38.97128695,0,0.001177298,0,1
0,p0201.mps,woa,non,9408.613867,4987.594169,9078.955817,0,329.6580492,0,40
",p0201.mps,mfo,non,18616.88612,7898.259787,16397.82912,""0,2219.057001769964"",0,39,"
0,p0201.mps,pso,non,25760.55419,13012.64023,21568.73223,0,4191.821958,0,40
0,p0201.mps,ea,its=100,23860,3365.8752291202545?,,,,,
0,p0201.mps,ea,its=1000,11700,33403.87776,10620,0,1080,0,26
0,p0201.mps,ea,mut=0.6,17965.0,33468.76324033737,13665.0,0,4300.0,0,29
0,neos-3754480-nidda.mps,woa,non,28682703326.520508,18906.910357236862,1384.4170929119086,0,28682701942.103416,0,56
0,PyomoExample.mps,ea,mut=0.6,37.61338458370625,4.672852516174316,36.43849330215943,0,117.48912815468222,0,2
0,PyomoExample.mps,ea,parameter,13.006723264496404,20.54051160812378,3.350093910285735,[],"[14.133240681339075, 15.336647381292929, 9.156629354210668]",0,3
0,PyomoExample.mps,ea,parameter,38.33366101955598,20.43549346923828,38.33366101955598,[],"[-0.00041619253865121664, -3.0134718130625515e-05, -0.6668154424189261]",0,0
0,PyomoExample.mps,ea,parameter,38.358360110428706,4.147649765014648,38.358360110428706,[],"[-0.026731605600787134, -0.00432342401690633, -0.6770183432058978]",0,0
0,PyomoExample.mps,ea,parameter,39.66401770642668,0.058969974517822266,39.66401770642668,[],"[-0.8637780625697502, -0.4528993988281087, -1.1055591537992857]",0,0
0,PyomoExample.mps,ea,parameter,10.894225264763284,0.0595395565032959,0.5570161067429069,[],"[14.743061896844797, 16.768565577216336, 9.837209158020379]",0,3
0,PyomoExample.mps,ea,parameter,11.342470091184344,0.06943368911743164,1.1824003736150357,[],"[14.482748961461583, 16.497460191246347, 9.660069717569309]",0,3
0,PyomoExample.mps,ea,parameter,12.365204835951142,0.05887627601623535,2.731677723346765,[],"[13.39931328636865, 16.00126805144448, 9.133527112604376]",0,3
0,PyomoExample.mps,ea,parameter,13.81798355191114,0.0672156810760498,4.788986031491879,[],"[12.433973633588192, 15.153018927669596, 8.528997520419262]",0,3
0,PyomoExample.mps,ea,parameter,38.37672047197739,5.0404558181762695,38.37672047197739,[],"[-0.015343662686586157, -0.01989481811180127, -0.6784128269327958]",0,0
0,PyomoExample.mps,ea,parameter,11.216649721333312,0.06186532974243164,1.0486244740276351,[],"[14.388750710556016, 16.615325031361014, 9.668025247305676]",0,3
